OMIM:164500,ATXN7
OMIM:164745,FZD2
OMIM:165300,OPA3
OMIM:165500,OPA1
OMIM:165510,SSBP1
OMIM:165550,PAX6
OMIM:165720,FRZB
OMIM:165800,ACAN
OMIM:166250,FGFR1
OMIM:166260,ANO5
OMIM:166300,MAFB
OMIM:166350,GNAS
OMIM:166600,CLCN7
OMIM:166700,LEMD3
OMIM:166760,A2ML1
OMIM:166900,SLC4A1
OMIM:167030,SLC26A1
OMIM:167100,SLCO2A1
OMIM:167200,KRT16
OMIM:167210,KRT17
OMIM:167250,SQSTM1
OMIM:167870,COMT
OMIM:168000,SDHD
OMIM:168300,SCN4A
OMIM:168400,TRPV4
OMIM:168550,MSX2
OMIM:168601,SNCA
OMIM:168605,DCTN1
OMIM:169100,TFAP2B
OMIM:169150,PRPH2
OMIM:169400,LBR
OMIM:169500,LMNB1
OMIM:169600,ATP2C1
OMIM:170100,PEPD
OMIM:170500,SCN4A
OMIM:170650,CTSC
OMIM:171400,RET
OMIM:172870,CRB1
OMIM:173200,CARD14
OMIM:173600,FLCN
OMIM:173650,FERMT1
OMIM:173900,PKD1
OMIM:174000,MUC1
OMIM:174200,GLI3
OMIM:174300,DDX59
OMIM:174400,GLI1
OMIM:174500,LMBR1
OMIM:174700,GLI3
OMIM:174800,GNAS
OMIM:174810,TNFRSF11A
OMIM:175050,SMAD4
OMIM:175100,APC
OMIM:175200,STK11
OMIM:175510,PDGFRA
OMIM:175700,GLI3
OMIM:175780,COL4A1
OMIM:175800,PMVK
OMIM:175900,MVK
OMIM:176000,HMBS
OMIM:176305,HOXA13
OMIM:176400,KISS1R
OMIM:176410,LHCGR
OMIM:176430,BUB1B
OMIM:176450,MNX1
OMIM:176500,ITM2B
OMIM:176860,PROC
OMIM:177000,FECH
OMIM:177170,COMP
OMIM:177650,LOXL1
OMIM:177735,NR3C2
OMIM:177820,GP1BA
OMIM:177850,ABCC6
OMIM:177900,HLA-C
OMIM:178110,MYH3
OMIM:178600,BMPR2
OMIM:179800,SLC4A1
OMIM:180000,COL4A1
OMIM:180100,RP1
OMIM:180104,RP9
OMIM:180105,IMPDH1
OMIM:180200,RB1
OMIM:180295,DICER1
OMIM:180550,PITX2
OMIM:180920,FGF10
OMIM:181270,KCTD1
OMIM:181350,LMNA
OMIM:181400,DES
OMIM:181405,TRPV4
OMIM:181430,MYH7
OMIM:181450,TBX3
OMIM:181600,SMARCAD1
OMIM:182000,PIK3CA
OMIM:182170,HSPA9
